OBJECTID,Date,Latitude,Longitude,Oceans,Regions,Location,Microplastics Measurement (density),Unit,Density Range,Concentration Class,Sampling Method,Organization
6191,2001-12-04 00:00:00,0.0700,-89.79,Pacific Ocean,Galápagos,Galápagos,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
6192,2001-12-05 00:00:00,-0.5100,-90.08,Pacific Ocean,Galápagos,Galápagos,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
6193,2001-12-08 00:00:00,-0.8700,-90.26,Pacific Ocean,Galápagos,Galápagos,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
6194,2001-12-09 00:00:00,"-1,21",-90.43,Pacific Ocean,Galápagos,Galápagos,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
6195,2001-12-09 00:00:00,"-1,07",-90.84,Pacific Ocean,Galápagos,Galápagos,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
6196,2001-12-10 00:00:00,"-1,13",-91.96,Pacific Ocean,Galápagos,Galápagos,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
8982,2014-11-24 00:00:00,-0.7485,-90.3131,Pacific Ocean,Galápagos,Galápagos,0.001,pieces/m3,0.0005-0.005,Low,Grab sample,Adventure Scientist
9371,2015-02-06 00:00:00,0.2891,-90.5589,Pacific Ocean,Galápagos,Galápagos,0.003,pieces/m3,0.0005-0.005,Low,Grab sample,Adventure Scientist
9373,2015-02-07 00:00:00,0.3140,-89.9471,Pacific Ocean,Galápagos,Galápagos,0.002,pieces/m3,0.0005-0.005,Low,Grab sample,Adventure Scientist
9806,2016-04-25 00:00:00,-0.5700,-90.57,Pacific Ocean,Galápagos,Galápagos,0.003,pieces/m3,0.0005-0.005,Low,Grab sample,Adventure Scientist
9828,2016-06-30 00:00:00,-0.8980,-89.6147,Pacific Ocean,Galápagos,Galápagos,0.001,pieces/m3,0.0005-0.005,Low,Grab sample,Adventure Scientist
12184,2017-10-11 00:00:00,"-1,50",-89.0,Pacific Ocean,Galápagos,Galápagos,0.78,pieces/m3,0.005-1,Medium,Plankton net,"University of Copenhagen, Denmark"
12185,2017-10-11 00:00:00,"-1,00",-89.0,Pacific Ocean,Galápagos,Galápagos,0.42,pieces/m3,0.005-1,Medium,Plankton net,"University of Copenhagen, Denmark"
12186,2017-10-12 00:00:00,-0.9000,-90.25,Pacific Ocean,Galápagos,Galápagos,0.19,pieces/m3,0.005-1,Medium,Plankton net,"University of Copenhagen, Denmark"
12187,2017-10-15 00:00:00,-0.7100,-90.65,Pacific Ocean,Galápagos,Galápagos,0.47,pieces/m3,0.005-1,Medium,Plankton net,"University of Copenhagen, Denmark"
12188,2017-10-16 00:00:00,"-1,30",-91.0,Pacific Ocean,Galápagos,Galápagos,0.42,pieces/m3,0.005-1,Medium,Plankton net,"University of Copenhagen, Denmark"
12190,2017-10-18 00:00:00,"-1,50",-92.0,Pacific Ocean,Galápagos,Galápagos,0.42,pieces/m3,0.005-1,Medium,Plankton net,"University of Copenhagen, Denmark"
12191,2017-10-18 00:00:00,"-1,00",-92.0,Pacific Ocean,Galápagos,Galápagos,0.54,pieces/m3,0.005-1,Medium,Plankton net,"University of Copenhagen, Denmark"
12192,2017-10-19 00:00:00,-0.5000,-92.0,Pacific Ocean,Galápagos,Galápagos,0.49,pieces/m3,0.005-1,Medium,Plankton net,"University of Copenhagen, Denmark"
12193,2017-10-19 00:00:00,0.0000,-92.0,Pacific Ocean,Galápagos,Galápagos,0.22,pieces/m3,0.005-1,Medium,Plankton net,"University of Copenhagen, Denmark"
12194,2017-10-19 00:00:00,0.5000,-92.0,Pacific Ocean,Galápagos,Galápagos,0.38,pieces/m3,0.005-1,Medium,Plankton net,"University of Copenhagen, Denmark"
12200,2017-10-25 00:00:00,0.5000,-89.0,Pacific Ocean,Galápagos,Galápagos,0.62,pieces/m3,0.005-1,Medium,Plankton net,"University of Copenhagen, Denmark"
12201,2017-10-25 00:00:00,0.0000,-89.0,Pacific Ocean,Galápagos,Galápagos,0.47,pieces/m3,0.005-1,Medium,Plankton net,"University of Copenhagen, Denmark"
12202,2017-10-26 00:00:00,-0.5000,-89.0,Pacific Ocean,Galápagos,Galápagos,0.51,pieces/m3,0.005-1,Medium,Plankton net,"University of Copenhagen, Denmark"
10262,2012-07-26 00:00:00,-16.5766,145.7434,Pacific Ocean,Coral Sea,Great Barrier Reef,0.023068,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10263,2012-07-26 00:00:00,-16.5617,145.753,Pacific Ocean,Coral Sea,Great Barrier Reef,0.063437,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10264,2012-07-26 00:00:00,-16.5429,145.7642,Pacific Ocean,Coral Sea,Great Barrier Reef,0.046136,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10265,2012-07-27 00:00:00,-15.0275,145.3907,Pacific Ocean,Coral Sea,Great Barrier Reef,0.027107,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10266,2012-07-27 00:00:00,-15.0086,145.3855,Pacific Ocean,Coral Sea,Great Barrier Reef,0.060851,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10267,2012-07-27 00:00:00,-14.9883,145.3802,Pacific Ocean,Coral Sea,Great Barrier Reef,0.159039,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10268,2012-07-27 00:00:00,-13.6551,144.0878,Pacific Ocean,Coral Sea,Great Barrier Reef,0.028222,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10269,2012-07-27 00:00:00,-13.6396,144.077,Pacific Ocean,Coral Sea,Great Barrier Reef,0.011252,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10270,2012-07-27 00:00:00,-13.6245,144.0655,Pacific Ocean,Coral Sea,Great Barrier Reef,0.021554,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10271,2012-07-28 00:00:00,-12.0293,143.2705,Pacific Ocean,Coral Sea,Great Barrier Reef,0.105342,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10272,2012-07-28 00:00:00,-12.015,143.2779,Pacific Ocean,Coral Sea,Great Barrier Reef,0.042218,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10273,2012-07-28 00:00:00,-11.9911,143.2855,Pacific Ocean,Coral Sea,Great Barrier Reef,0.077439,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10274,2012-07-28 00:00:00,-10.7482,142.3402,Pacific Ocean,Coral Sea,Great Barrier Reef,0.04632,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10275,2012-07-28 00:00:00,-10.7676,142.3095,Pacific Ocean,Coral Sea,Great Barrier Reef,0.005254,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10276,2012-07-28 00:00:00,-10.7793,142.2928,Pacific Ocean,Coral Sea,Great Barrier Reef,0.016261,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10277,2012-07-29 00:00:00,-12.2655,141.6291,Indian Ocean,Arafura Sea,Great Barrier Reef,0.0329,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10278,2012-07-29 00:00:00,-12.2778,141.6255,Indian Ocean,Arafura Sea,Great Barrier Reef,0.018353,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10279,2012-07-29 00:00:00,-12.2945,141.6211,Indian Ocean,Arafura Sea,Great Barrier Reef,0.005306,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
12016,2012-07-26 00:00:00,-16.5692,145.7482,Pacific Ocean,Coral Sea,Great Barrier Reef,0.025709,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12017,2012-07-26 00:00:00,-16.5523,145.7586,Pacific Ocean,Coral Sea,Great Barrier Reef,0.051704,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12018,2012-07-26 00:00:00,-16.5347,145.7419,Pacific Ocean,Coral Sea,Great Barrier Reef,0.04902,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12019,2012-07-27 00:00:00,-15.0181,145.3881,Pacific Ocean,Coral Sea,Great Barrier Reef,0.028801,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12020,2012-07-27 00:00:00,-14.9985,145.3829,Pacific Ocean,Coral Sea,Great Barrier Reef,0.048489,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12021,2012-07-27 00:00:00,-14.9792,145.3785,Pacific Ocean,Coral Sea,Great Barrier Reef,0.150879,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12022,2012-07-27 00:00:00,-13.6473,144.0824,Pacific Ocean,Coral Sea,Great Barrier Reef,0.029982,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12023,2012-07-27 00:00:00,-13.632,144.0713,Pacific Ocean,Coral Sea,Great Barrier Reef,0.005979,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12024,2012-07-27 00:00:00,-13.6168,144.0593,Pacific Ocean,Coral Sea,Great Barrier Reef,0.022899,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12025,2012-07-28 00:00:00,-12.0222,143.2742,Pacific Ocean,Coral Sea,Great Barrier Reef,0.097981,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12026,2012-07-28 00:00:00,-12.0031,143.2817,Pacific Ocean,Coral Sea,Great Barrier Reef,0.035879,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12027,2012-07-28 00:00:00,-11.9875,143.2887,Pacific Ocean,Coral Sea,Great Barrier Reef,0.082257,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12028,2012-07-28 00:00:00,-10.7537,142.3313,Pacific Ocean,Coral Sea,Great Barrier Reef,0.043755,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12029,2012-07-28 00:00:00,-10.7735,142.3012,Pacific Ocean,Coral Sea,Great Barrier Reef,0.005581,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12030,2012-07-28 00:00:00,-10.7849,142.2847,Pacific Ocean,Coral Sea,Great Barrier Reef,0.011522,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12031,2012-07-29 00:00:00,-12.2716,141.6273,Indian Ocean,Arafura Sea,Great Barrier Reef,0.01748,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12032,2012-07-29 00:00:00,-12.2862,141.6233,Indian Ocean,Arafura Sea,Great Barrier Reef,0.006501,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12033,2012-07-29 00:00:00,-12.3042,141.6185,Indian Ocean,Arafura Sea,Great Barrier Reef,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,5 Gyres Institute
13396,2017-04-15 00:00:00,-21.0632,149.2618,Pacific Ocean,Coral Sea,Great Barrier Reef,0.031064,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
13397,2017-04-25 00:00:00,-18.9943,146.7488,Pacific Ocean,Coral Sea,Great Barrier Reef,0.0,pieces/m3,0-0.0005,Very Low,Manta net,"Oceaneye Association,  Switzerland"
13398,2017-04-25 00:00:00,-17.7783,146.3462,Pacific Ocean,Coral Sea,Great Barrier Reef,0.192901,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
13399,2017-04-28 00:00:00,-16.9968,146.2177,Pacific Ocean,Coral Sea,Great Barrier Reef,0.196934,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
13400,2017-05-03 00:00:00,-16.593,145.9435,Pacific Ocean,Coral Sea,Great Barrier Reef,0.693459,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
13401,2017-05-14 00:00:00,-15.486,145.6257,Pacific Ocean,Coral Sea,Great Barrier Reef,0.295497,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
13402,2017-05-23 00:00:00,-16.9322,146.194,Pacific Ocean,Coral Sea,Great Barrier Reef,0.350663,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
13403,2017-05-25 00:00:00,-16.9278,145.984,Pacific Ocean,Coral Sea,Great Barrier Reef,0.016931,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
13404,2017-06-28 00:00:00,-16.1672,145.8268,Pacific Ocean,Coral Sea,Great Barrier Reef,0.003852,pieces/m3,0.0005-0.005,Low,Manta net,"Oceaneye Association,  Switzerland"
13405,2017-07-03 00:00:00,-10.7295,150.3883,Pacific Ocean,Coral Sea,Great Barrier Reef,0.009309,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
13406,2017-07-16 00:00:00,-9.5727,152.7847,Pacific Ocean,Solomon Sea,Great Barrier Reef,0.037082,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
13409,2017-08-16 00:00:00,-9.232,159.7077,Pacific Ocean,Solomon Sea,Great Barrier Reef,0.044853,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
13410,2017-09-02 00:00:00,-9.3533,159.9237,Pacific Ocean,Solomon Sea,Great Barrier Reef,0.020419,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
21470,2020-03-16 00:00:00,-20.1968,148.9341,Pacific Ocean,Coral Sea,Great Barrier Reef,0.114059,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21471,2020-03-17 00:00:00,-20.2025,149.0102,Pacific Ocean,Coral Sea,Great Barrier Reef,0.08241,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21472,2020-03-17 00:00:00,-20.1745,148.9576,Pacific Ocean,Coral Sea,Great Barrier Reef,0.083135,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21473,2020-03-17 00:00:00,-20.1756,148.9078,Pacific Ocean,Coral Sea,Great Barrier Reef,0.044905,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21474,2020-03-18 00:00:00,-20.1519,148.9051,Pacific Ocean,Coral Sea,Great Barrier Reef,0.05612,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21475,2020-03-19 00:00:00,-20.2384,148.8917,Pacific Ocean,Coral Sea,Great Barrier Reef,0.07214,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21476,2020-03-19 00:00:00,-20.1416,148.8145,Pacific Ocean,Coral Sea,Great Barrier Reef,0.057093,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21477,2020-03-19 00:00:00,-20.1205,148.876,Pacific Ocean,Coral Sea,Great Barrier Reef,0.118492,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21478,2020-03-20 00:00:00,-20.1026,148.8581,Pacific Ocean,Coral Sea,Great Barrier Reef,0.035978,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21479,2020-03-20 00:00:00,-20.2345,148.7407,Pacific Ocean,Coral Sea,Great Barrier Reef,0.067601,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21480,2020-03-22 00:00:00,-20.1709,148.8286,Pacific Ocean,Coral Sea,Great Barrier Reef,0.026423,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21481,2020-03-22 00:00:00,-20.2514,148.9329,Pacific Ocean,Coral Sea,Great Barrier Reef,0.02781,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21482,2020-03-23 00:00:00,-20.2765,148.917,Pacific Ocean,Coral Sea,Great Barrier Reef,0.043204,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21483,2020-03-23 00:00:00,-20.2281,148.7833,Pacific Ocean,Coral Sea,Great Barrier Reef,0.034875,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21484,2020-03-24 00:00:00,-20.3456,148.8388,Pacific Ocean,Coral Sea,Great Barrier Reef,0.080216,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
21485,2020-03-24 00:00:00,-20.3401,148.8416,Pacific Ocean,Coral Sea,Great Barrier Reef,0.010693,pieces/m3,0.005-1,Medium,Manta net,"University of Newcastle, Australia"
9376,2015-02-14 00:00:00,10.0888,99.8253,Pacific Ocean,Gulf of Thailand,South China Sea,0.004000,pieces/m3,0.0005-0.005,Low,Grab sample,Adventure Scientist
9395,2015-03-04 00:00:00,7.1221,99.4243,Pacific Ocean,Malacca Strait,South China Sea,0.000000,pieces/m3,0-0.0005,Very Low,Grab sample,Adventure Scientist
9757,2016-03-14 00:00:00,3.5438,100.2277,Pacific Ocean,Malacca Strait,South China Sea,0.077000,pieces/m3,0.005-1,Medium,Grab sample,Adventure Scientist
9784,2015-12-28 00:00:00,1.745,110.493,Pacific Ocean,South China Sea,South China Sea,0.000000,pieces/m3,0-0.0005,Very Low,Grab sample,Adventure Scientist
9785,2015-12-29 00:00:00,1.81,110.325,Pacific Ocean,South China Sea,South China Sea,0.000000,pieces/m3,0-0.0005,Very Low,Grab sample,Adventure Scientist
9786,2016-01-08 00:00:00,1.2817,108.13,Pacific Ocean,South China Sea,South China Sea,0.003000,pieces/m3,0.0005-0.005,Low,Grab sample,Adventure Scientist
9787,2016-01-10 00:00:00,0.0928,107.473,Pacific Ocean,South China Sea,South China Sea,0.003000,pieces/m3,0.0005-0.005,Low,Grab sample,Adventure Scientist
9788,2016-01-12 00:00:00,0.0043,107.8617,Pacific Ocean,South China Sea,South China Sea,0.008000,pieces/m3,0.005-1,Medium,Grab sample,Adventure Scientist
9796,2016-03-28 00:00:00,-0.001,108.7017,Pacific Ocean,South China Sea,South China Sea,0.000000,pieces/m3,0-0.0005,Very Low,Grab sample,Adventure Scientist
9797,2016-04-06 00:00:00,3.81,112.9183,Pacific Ocean,South China Sea,South China Sea,0.000000,pieces/m3,0-0.0005,Very Low,Grab sample,Adventure Scientist
9810,2016-04-26 00:00:00,9.9233,116.3,Pacific Ocean,South China Sea,South China Sea,0.024000,pieces/m3,0.005-1,Medium,Grab sample,Adventure Scientist
9835,2016-04-29 00:00:00,14.228,118.822,Pacific Ocean,South China Sea,South China Sea,0.021000,pieces/m3,0.005-1,Medium,Grab sample,Adventure Scientist
10091,2018-01-19 00:00:00,19.3505,120.8961,Pacific Ocean,South China Sea,South China Sea,75.000.000,pieces/m3,10,Very High,Intake seawater pump,GEOMAR Helmholtz Centre for Ocean Research Kiel
10092,2018-02-07 00:00:00,21.5077,119.5477,Pacific Ocean,South China Sea,South China Sea,349.000.000,pieces/m3,10,Very High,Intake seawater pump,GEOMAR Helmholtz Centre for Ocean Research Kiel
11318,2018-10-07 00:00:00,14.4083,120.8462,Pacific Ocean,South China Sea,South China Sea,1.580.000.000,pieces/m3,10,Very High,Surface water intake,University of the Philippines Diliman
11319,2018-11-10 00:00:00,14.5937,120.9571,Pacific Ocean,South China Sea,South China Sea,3.405.000.000,pieces/m3,10,Very High,Surface water intake,University of the Philippines Diliman
11320,2019-01-19 00:00:00,14.6498,120.9487,Pacific Ocean,South China Sea,South China Sea,11.475.000.000,pieces/m3,10,Very High,Surface water intake,University of the Philippines Diliman
11321,2019-01-23 00:00:00,14.5023,120.9893,Pacific Ocean,South China Sea,South China Sea,5.015.000.000,pieces/m3,10,Very High,Surface water intake,University of the Philippines Diliman
11322,2019-02-11 00:00:00,14.7484,120.9105,Pacific Ocean,South China Sea,South China Sea,57.665.000.000,pieces/m3,10,Very High,Surface water intake,University of the Philippines Diliman
12228,2017-09-24 00:00:00,21.0236,119.9733,Pacific Ocean,South China Sea,South China Sea,0.007427,pieces/m3,0.005-1,Medium,Manta net,"Third Institute of Oceanography, Xiamen, China"
12229,2017-09-24 00:00:00,20.9969,119.4892,Pacific Ocean,South China Sea,South China Sea,0.063767,pieces/m3,0.005-1,Medium,Manta net,"Third Institute of Oceanography, Xiamen, China"
12230,2017-09-24 00:00:00,21.0083,118.9903,Pacific Ocean,South China Sea,South China Sea,0.096400,pieces/m3,0.005-1,Medium,Manta net,"Third Institute of Oceanography, Xiamen, China"
13016,2018-08-08 00:00:00,22.0992,113.8578,Pacific Ocean,South China Sea,South China Sea,1.052.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13017,2018-08-08 00:00:00,21.9909,113.8984,Pacific Ocean,South China Sea,South China Sea,1.001.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13018,2018-08-08 00:00:00,21.8549,113.9551,Pacific Ocean,South China Sea,South China Sea,1.104.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13019,2018-08-10 00:00:00,21.8542,113.7184,Pacific Ocean,South China Sea,South China Sea,1.489.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13020,2018-08-10 00:00:00,21.8192,113.1246,Pacific Ocean,South China Sea,South China Sea,667.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13021,2018-08-10 00:00:00,21.6951,113.1895,Pacific Ocean,South China Sea,South China Sea,898.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13022,2018-08-10 00:00:00,21.5606,113.2469,Pacific Ocean,South China Sea,South China Sea,1.001.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13023,2018-08-10 00:00:00,21.9191,113.3833,Pacific Ocean,South China Sea,South China Sea,539.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13024,2018-08-10 00:00:00,21.8254,113.4293,Pacific Ocean,South China Sea,South China Sea,719.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13025,2018-08-10 00:00:00,21.7489,113.4636,Pacific Ocean,South China Sea,South China Sea,667.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13026,2018-08-09 00:00:00,21.9929,113.5471,Pacific Ocean,South China Sea,South China Sea,719.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13027,2018-08-09 00:00:00,21.92,113.6889,Pacific Ocean,South China Sea,South China Sea,873.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13028,2018-08-09 00:00:00,21.9827,113.6507,Pacific Ocean,South China Sea,South China Sea,2.053.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13029,2018-08-09 00:00:00,22.0988,113.6529,Pacific Ocean,South China Sea,South China Sea,1.309.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13030,2018-08-09 00:00:00,21.9108,113.5875,Pacific Ocean,South China Sea,South China Sea,1.052.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13031,2018-08-09 00:00:00,21.8316,113.6262,Pacific Ocean,South China Sea,South China Sea,2.079.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13032,2018-08-08 00:00:00,22.1858,113.6999,Pacific Ocean,South China Sea,South China Sea,898.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13033,2018-08-08 00:00:00,22.0302,113.7624,Pacific Ocean,South China Sea,South China Sea,1.104.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13034,2018-08-08 00:00:00,21.9358,113.7912,Pacific Ocean,South China Sea,South China Sea,2.053.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13035,2018-08-08 00:00:00,21.8516,113.8142,Pacific Ocean,South China Sea,South China Sea,1.052.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13036,2018-08-08 00:00:00,21.7678,113.8562,Pacific Ocean,South China Sea,South China Sea,488.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13037,2018-08-11 00:00:00,21.5832,112.4874,Pacific Ocean,South China Sea,South China Sea,693.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13038,2018-08-11 00:00:00,21.4888,112.5312,Pacific Ocean,South China Sea,South China Sea,770.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13039,2018-08-11 00:00:00,21.3872,112.5668,Pacific Ocean,South China Sea,South China Sea,1.027.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
