OBJECTID,Date,Latitude,Longitude,Oceans,Regions,Location,Microplastics Measurement (density),Unit,Density Range,Concentration Class,Sampling Method,Organization
9376,14/02/2015,10.0888,99.8253,Pacific Ocean,Gulf of Thailand,South China Sea,0.004000,pieces/m3,0.0005-0.005,Low,Grab sample,Adventure Scientist
9395,04/03/2015,7.1221,99.4243,Pacific Ocean,Malacca Strait,South China Sea,0.000000,pieces/m3,0-0.0005,Very Low,Grab sample,Adventure Scientist
9757,14/03/2016,3.5438,100.2277,Pacific Ocean,Malacca Strait,South China Sea,0.077000,pieces/m3,0.005-1,Medium,Grab sample,Adventure Scientist
9784,28/12/2015,1.7450,110.4930,Pacific Ocean,South China Sea,South China Sea,0.000000,pieces/m3,0-0.0005,Very Low,Grab sample,Adventure Scientist
9785,29/12/2015,1.8100,110.3250,Pacific Ocean,South China Sea,South China Sea,0.000000,pieces/m3,0-0.0005,Very Low,Grab sample,Adventure Scientist
9786,08/01/2016,1.2817,108.1300,Pacific Ocean,South China Sea,South China Sea,0.003000,pieces/m3,0.0005-0.005,Low,Grab sample,Adventure Scientist
9787,10/01/2016,0.0928,107.4730,Pacific Ocean,South China Sea,South China Sea,0.003000,pieces/m3,0.0005-0.005,Low,Grab sample,Adventure Scientist
9788,12/01/2016,0.0043,107.8617,Pacific Ocean,South China Sea,South China Sea,0.008000,pieces/m3,0.005-1,Medium,Grab sample,Adventure Scientist
9796,28/03/2016,-0.0010,108.7017,Pacific Ocean,South China Sea,South China Sea,0.000000,pieces/m3,0-0.0005,Very Low,Grab sample,Adventure Scientist
9797,06/04/2016,3.8100,112.9183,Pacific Ocean,South China Sea,South China Sea,0.000000,pieces/m3,0-0.0005,Very Low,Grab sample,Adventure Scientist
9810,26/04/2016,9.9233,116.3000,Pacific Ocean,South China Sea,South China Sea,0.024000,pieces/m3,0.005-1,Medium,Grab sample,Adventure Scientist
9835,29/04/2016,14.2280,118.8220,Pacific Ocean,South China Sea,South China Sea,0.021000,pieces/m3,0.005-1,Medium,Grab sample,Adventure Scientist
10091,19/01/2018,19.3505,120.8961,Pacific Ocean,South China Sea,South China Sea,75.000.000,pieces/m3,10,Very High,Intake seawater pump,GEOMAR Helmholtz Centre for Ocean Research Kiel
10092,07/02/2018,21.5077,119.5477,Pacific Ocean,South China Sea,South China Sea,349.000.000,pieces/m3,10,Very High,Intake seawater pump,GEOMAR Helmholtz Centre for Ocean Research Kiel
11318,07/10/2018,14.4083,120.8462,Pacific Ocean,South China Sea,South China Sea,1.580.000.000,pieces/m3,10,Very High,Surface water intake,University of the Philippines Diliman
11319,10/11/2018,14.5937,120.9571,Pacific Ocean,South China Sea,South China Sea,3.405.000.000,pieces/m3,10,Very High,Surface water intake,University of the Philippines Diliman
11320,19/01/2019,14.6498,120.9487,Pacific Ocean,South China Sea,South China Sea,11.475.000.000,pieces/m3,10,Very High,Surface water intake,University of the Philippines Diliman
11321,23/01/2019,14.5023,120.9893,Pacific Ocean,South China Sea,South China Sea,5.015.000.000,pieces/m3,10,Very High,Surface water intake,University of the Philippines Diliman
11322,11/02/2019,14.7484,120.9105,Pacific Ocean,South China Sea,South China Sea,57.665.000.000,pieces/m3,10,Very High,Surface water intake,University of the Philippines Diliman
12228,24/09/2017,21.0236,119.9733,Pacific Ocean,South China Sea,South China Sea,0.007427,pieces/m3,0.005-1,Medium,Manta net,"Third Institute of Oceanography, Xiamen, China"
12229,24/09/2017,20.9969,119.4892,Pacific Ocean,South China Sea,South China Sea,0.063767,pieces/m3,0.005-1,Medium,Manta net,"Third Institute of Oceanography, Xiamen, China"
12230,24/09/2017,21.0083,118.9903,Pacific Ocean,South China Sea,South China Sea,0.096400,pieces/m3,0.005-1,Medium,Manta net,"Third Institute of Oceanography, Xiamen, China"
13016,08/08/2018,22.0992,113.8578,Pacific Ocean,South China Sea,South China Sea,1.052.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13017,08/08/2018,21.9909,113.8984,Pacific Ocean,South China Sea,South China Sea,1.001.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13018,08/08/2018,21.8549,113.9551,Pacific Ocean,South China Sea,South China Sea,1.104.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13019,10/08/2018,21.8542,113.7184,Pacific Ocean,South China Sea,South China Sea,1.489.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13020,10/08/2018,21.8192,113.1246,Pacific Ocean,South China Sea,South China Sea,667.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13021,10/08/2018,21.6951,113.1895,Pacific Ocean,South China Sea,South China Sea,898.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13022,10/08/2018,21.5606,113.2469,Pacific Ocean,South China Sea,South China Sea,1.001.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13023,10/08/2018,21.9191,113.3833,Pacific Ocean,South China Sea,South China Sea,539.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13024,10/08/2018,21.8254,113.4293,Pacific Ocean,South China Sea,South China Sea,719.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13025,10/08/2018,21.7489,113.4636,Pacific Ocean,South China Sea,South China Sea,667.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13026,09/08/2018,21.9929,113.5471,Pacific Ocean,South China Sea,South China Sea,719.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13027,09/08/2018,21.9200,113.6889,Pacific Ocean,South China Sea,South China Sea,873.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13028,09/08/2018,21.9827,113.6507,Pacific Ocean,South China Sea,South China Sea,2.053.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13029,09/08/2018,22.0988,113.6529,Pacific Ocean,South China Sea,South China Sea,1.309.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13030,09/08/2018,21.9108,113.5875,Pacific Ocean,South China Sea,South China Sea,1.052.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13031,09/08/2018,21.8316,113.6262,Pacific Ocean,South China Sea,South China Sea,2.079.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13032,08/08/2018,22.1858,113.6999,Pacific Ocean,South China Sea,South China Sea,898.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13033,08/08/2018,22.0302,113.7624,Pacific Ocean,South China Sea,South China Sea,1.104.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13034,08/08/2018,21.9358,113.7912,Pacific Ocean,South China Sea,South China Sea,2.053.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13035,08/08/2018,21.8516,113.8142,Pacific Ocean,South China Sea,South China Sea,1.052.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13036,08/08/2018,21.7678,113.8562,Pacific Ocean,South China Sea,South China Sea,488.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13037,11/08/2018,21.5832,112.4874,Pacific Ocean,South China Sea,South China Sea,693.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13038,11/08/2018,21.4888,112.5312,Pacific Ocean,South China Sea,South China Sea,770.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13039,11/08/2018,21.3872,112.5668,Pacific Ocean,South China Sea,South China Sea,1.027.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13040,11/08/2018,21.7894,112.9684,Pacific Ocean,South China Sea,South China Sea,1.129.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13041,11/08/2018,21.6979,113.0085,Pacific Ocean,South China Sea,South China Sea,1.848.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13042,11/08/2018,21.5927,113.0515,Pacific Ocean,South China Sea,South China Sea,539.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13043,10/08/2018,21.8622,113.2817,Pacific Ocean,South China Sea,South China Sea,770.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13044,10/08/2018,21.7621,113.3250,Pacific Ocean,South China Sea,South China Sea,1.078.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13045,10/08/2018,21.6587,113.3715,Pacific Ocean,South China Sea,South China Sea,565.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13046,07/08/2018,22.1359,113.9360,Pacific Ocean,South China Sea,South China Sea,1.001.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13047,07/08/2018,22.0870,113.9610,Pacific Ocean,South China Sea,South China Sea,488.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13048,07/08/2018,21.9617,114.0214,Pacific Ocean,South China Sea,South China Sea,513.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13049,07/08/2018,22.1376,114.0313,Pacific Ocean,South China Sea,South China Sea,924.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13050,07/08/2018,22.0939,114.0630,Pacific Ocean,South China Sea,South China Sea,1.027.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13051,07/08/2018,21.9854,114.1040,Pacific Ocean,South China Sea,South China Sea,924.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13053,20/08/2018,22.0992,113.8578,Pacific Ocean,South China Sea,South China Sea,1.232.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13054,20/08/2018,21.9909,113.8984,Pacific Ocean,South China Sea,South China Sea,1.489.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13055,21/08/2018,21.8549,113.9551,Pacific Ocean,South China Sea,South China Sea,1.566.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13056,17/08/2018,21.8542,113.7184,Pacific Ocean,South China Sea,South China Sea,1.360.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13057,17/08/2018,21.8192,113.1246,Pacific Ocean,South China Sea,South China Sea,1.078.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13058,17/08/2018,21.6951,113.1895,Pacific Ocean,South China Sea,South China Sea,821.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13059,18/08/2018,21.5606,113.2469,Pacific Ocean,South China Sea,South China Sea,744.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
13060,18/08/2018,21.9191,113.3833,Pacific Ocean,South China Sea,South China Sea,1.104.000.000,pieces/m3,10,Very High,Stainless steel bucket,City University of Hong Kong
