OBJECTID,Date,Latitude,Longitude,Oceans,Regions,Location,Microplastics Measurement (density),Unit,Density Range,Concentration Class,Sampling Method,Organization
10262,26/07/2012,-16.5766,145.7434,Pacific Ocean,Coral Sea,Great Barrier Reef,0.023068,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10263,26/07/2012,-16.5617,145.7530,Pacific Ocean,Coral Sea,Great Barrier Reef,0.063437,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10264,26/07/2012,-16.5429,145.7642,Pacific Ocean,Coral Sea,Great Barrier Reef,0.046136,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10265,27/07/2012,-15.0275,145.3907,Pacific Ocean,Coral Sea,Great Barrier Reef,0.027107,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10266,27/07/2012,-15.0086,145.3855,Pacific Ocean,Coral Sea,Great Barrier Reef,0.060851,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10267,27/07/2012,-14.9883,145.3802,Pacific Ocean,Coral Sea,Great Barrier Reef,0.159039,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10268,27/07/2012,-13.6551,144.0878,Pacific Ocean,Coral Sea,Great Barrier Reef,0.028222,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10269,27/07/2012,-13.6396,144.0770,Pacific Ocean,Coral Sea,Great Barrier Reef,0.011252,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10270,27/07/2012,-13.6245,144.0655,Pacific Ocean,Coral Sea,Great Barrier Reef,0.021554,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10271,28/07/2012,-12.0293,143.2705,Pacific Ocean,Coral Sea,Great Barrier Reef,0.105342,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10272,28/07/2012,-12.0150,143.2779,Pacific Ocean,Coral Sea,Great Barrier Reef,0.042218,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10273,28/07/2012,-11.9911,143.2855,Pacific Ocean,Coral Sea,Great Barrier Reef,0.077439,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10274,28/07/2012,-10.7482,142.3402,Pacific Ocean,Coral Sea,Great Barrier Reef,0.04632,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10275,28/07/2012,-10.7676,142.3095,Pacific Ocean,Coral Sea,Great Barrier Reef,0.005254,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10276,28/07/2012,-10.7793,142.2928,Pacific Ocean,Coral Sea,Great Barrier Reef,0.016261,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10277,29/07/2012,-12.2655,141.6291,Indian Ocean,Arafura Sea,Great Barrier Reef,0.0329,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10278,29/07/2012,-12.2778,141.6255,Indian Ocean,Arafura Sea,Great Barrier Reef,0.018353,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
10279,29/07/2012,-12.2945,141.6211,Indian Ocean,Arafura Sea,Great Barrier Reef,0.005306,pieces/m3,0.005-1,Medium,Manta net,University of Western Australia
12016,26/07/2012,-16.5692,145.7482,Pacific Ocean,Coral Sea,Great Barrier Reef,0.025709,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12017,26/07/2012,-16.5523,145.7586,Pacific Ocean,Coral Sea,Great Barrier Reef,0.051704,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12018,26/07/2012,-16.5347,145.7419,Pacific Ocean,Coral Sea,Great Barrier Reef,0.04902,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12019,27/07/2012,-15.0181,145.3881,Pacific Ocean,Coral Sea,Great Barrier Reef,0.028801,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12020,27/07/2012,-14.9985,145.3829,Pacific Ocean,Coral Sea,Great Barrier Reef,0.048489,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12021,27/07/2012,-14.9792,145.3785,Pacific Ocean,Coral Sea,Great Barrier Reef,0.150879,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12022,27/07/2012,-13.6473,144.0824,Pacific Ocean,Coral Sea,Great Barrier Reef,0.029982,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12023,27/07/2012,-13.6320,144.0713,Pacific Ocean,Coral Sea,Great Barrier Reef,0.005979,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12024,27/07/2012,-13.6168,144.0593,Pacific Ocean,Coral Sea,Great Barrier Reef,0.022899,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12025,28/07/2012,-12.0222,143.2742,Pacific Ocean,Coral Sea,Great Barrier Reef,0.097981,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12026,28/07/2012,-12.0031,143.2817,Pacific Ocean,Coral Sea,Great Barrier Reef,0.035879,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12027,28/07/2012,-11.9875,143.2887,Pacific Ocean,Coral Sea,Great Barrier Reef,0.082257,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12028,28/07/2012,-10.7537,142.3313,Pacific Ocean,Coral Sea,Great Barrier Reef,0.043755,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12029,28/07/2012,-10.7735,142.3012,Pacific Ocean,Coral Sea,Great Barrier Reef,0.005581,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12030,28/07/2012,-10.7849,142.2847,Pacific Ocean,Coral Sea,Great Barrier Reef,0.011522,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12031,29/07/2012,-12.2716,141.6273,Indian Ocean,Arafura Sea,Great Barrier Reef,0.01748,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12032,29/07/2012,-12.2862,141.6233,Indian Ocean,Arafura Sea,Great Barrier Reef,0.006501,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
12033,29/07/2012,-12.3042,141.6185,Indian Ocean,Arafura Sea,Great Barrier Reef,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,5 Gyres Institute
13396,15/04/2017,-21.0632,149.2618,Pacific Ocean,Coral Sea,Great Barrier Reef,0.031064,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
13397,25/04/2017,-18.9943,146.7488,Pacific Ocean,Coral Sea,Great Barrier Reef,0.0,pieces/m3,0-0.0005,Very Low,Manta net,"Oceaneye Association,  Switzerland"
13398,25/04/2017,-17.7783,146.3462,Pacific Ocean,Coral Sea,Great Barrier Reef,0.192901,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
13399,28/04/2017,-16.9968,146.2177,Pacific Ocean,Coral Sea,Great Barrier Reef,0.196934,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
