Oceans,Regions,Latitude,Longitude
Atlantic Ocean,,-31.696,-48.56
Pacific Ocean,,6.35,-121.85
Pacific Ocean,,0.5,-95.35
Atlantic Ocean,,0.631825,-45.398158
Pacific Ocean,,16.623,-99.6978
Atlantic Ocean,Caribbean Sea,19.77,-81.06
Pacific Ocean,,19.3403,-156.087
Pacific Ocean,,33.47,-151.63
Atlantic Ocean,Mediterranean Sea,32.6775,34.920833
Atlantic Ocean,North Sea,58.034333,-3.627833
Atlantic Ocean,,57.298,-10.374833
Atlantic Ocean,Inner Seas off the West Coast of Scotland,55.997,-4.888
Arctic Ocean,,81.1909,12.8995
Pacific Ocean,,12.95,-156.94
Pacific Ocean,,15.25,-157.55
Atlantic Ocean,,37.47,-66.97
Atlantic Ocean,,38.617833,-20.686667
Atlantic Ocean,,43.11,-64.37
Atlantic Ocean,,43.61,-67.0
Atlantic Ocean,Mediterranean Sea,44.240431,8.469206
Pacific Ocean,,57.22,-136.23
Atlantic Ocean,New York Bight,39.69,-72.06
Atlantic Ocean,,41.05,-70.67
Atlantic Ocean,,41.49,-70.9
Atlantic Ocean,,40.06,-71.16
Atlantic Ocean,,39.84,-68.3
Atlantic Ocean,,40.21,-68.1
Atlantic Ocean,,34.5198,-77.359
Atlantic Ocean,,32.7933,-79.8779
Atlantic Ocean,,32.8695,-79.9656
Atlantic Ocean,,31.89,-71.22
Atlantic Ocean,,32.14,-64.73
Atlantic Ocean,,32.67,-64.48
Atlantic Ocean,,25.164051,-18.900932
Pacific Ocean,,33.06,-148.13
Pacific Ocean,,31.790833,-143.96
Pacific Ocean,,31.99426,-135.652
Atlantic Ocean,,39.6528,-75.5824
,,32.6472,-97.3064
Atlantic Ocean,Gulf of Mexico,26.1893,-97.1756
Atlantic Ocean,Gulf of Mexico,20.974583,-97.3069
Atlantic Ocean,,24.28,-82.18
Atlantic Ocean,,21.84,-59.34
Atlantic Ocean,,20.18,-70.07
Atlantic Ocean,,25.38,-18.59
Atlantic Ocean,Gulf of Mexico,29.2666,-94.8244
Atlantic Ocean,Gulf of Mexico,29.2165,-94.9132
Atlantic Ocean,Gulf of Mexico,29.3148,-94.7527
Atlantic Ocean,Gulf of Mexico,27.8153,-97.0647
Atlantic Ocean,Gulf of Mexico,27.9324,-96.9827
Atlantic Ocean,Gulf of Mexico,27.6295,-97.1968
