,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
0,No,Unknown,2015.72,Unknown,6,3,Unknown,1,1,Male,,3,5,Research Director,3,Unknown,16280.83,42330.17,7,No,13,3.0,3,Full Time,0,,5,3.0,20,15,15,1972,195370.0,Yes
1,No,Unknown,2063.39,Unknown,1,4,Life Sciences,2,3,Male,,2,5,Manager,3,Unknown,,43331.17,0,Unknown,14,3.0,1,Unknown,1,34.0,5,3.0,33,11,9,1971,199990.0,Yes
2,No,Rarely,1984.25,Research & Development,4,2,Technical Degree,3,3,Male,,3,5,Manager,4,Married,,41669.33,1,No,11,3.0,4,Unknown,0,22.0,3,3.0,22,11,15,1981,192320.0,Yes
3,No,Rarely,1771.4,Unknown,2,4,Medical,4,1,Female,,3,4,Research Director,3,Married,14307.5,37199.5,3,Unknown,19,3.0,2,Full Time,2,,2,3.0,20,5,6,1976,171690.0,No
4,No,Unknown,1582.77,Unknown,3,3,Technical Degree,5,1,Female,,4,4,Sales Executive,1,Divorced,12783.92,33238.2,2,No,12,3.0,4,Unknown,1,,5,3.0,19,2,8,1977,,No
5,No,Unknown,1771.92,Research & Development,22,3,Medical,6,4,Female,,3,4,Manager,4,Unknown,14311.67,37210.33,3,No,11,3.0,2,Unknown,1,,3,3.0,22,4,7,1975,,Yes
6,No,Unknown,1032.49,Unknown,25,3,Life Sciences,7,1,Female,,3,3,Sales Executive,1,Unknown,8339.32,21682.23,7,Unknown,11,3.0,4,Part Time,0,28.0,3,2.0,21,7,9,1964,100071.84,Yes
7,No,Rarely,556.26,Unknown,1,1,Unknown,8,2,Male,69.53208262471655,3,2,Sales Executive,3,Married,,11681.39,1,No,25,4.0,3,Part Time,0,20.0,3,3.0,20,11,6,1981,53914.11,No
8,No,Unknown,1712.18,Unknown,2,5,Unknown,9,2,Female,,3,4,Manager,1,Married,13829.17,35955.83,7,No,16,3.0,2,Full Time,1,22.0,2,3.0,18,11,8,1982,165950.0,Yes
9,No,Frequently,1973.98,Unknown,9,3,Unknown,10,1,Male,,3,5,Research Director,3,Unknown,15943.72,41453.67,2,No,17,3.0,2,Unknown,1,21.0,2,4.0,18,0,11,1982,,No
10,No,No,2060.71,Unknown,7,1,Unknown,11,2,Female,,1,5,Research Director,3,Unknown,16644.17,43274.83,1,No,22,4.0,2,Full Time,2,,3,3.0,21,5,10,1982,199730.0,No
11,No,Rarely,1382.75,Unknown,23,3,Life Sciences,12,4,Male,172.84325396825398,3,4,Manufacturing Director,2,Married,,29037.67,4,Yes,12,3.0,1,Full Time,1,33.0,0,3.0,19,15,9,1967,134020.0,No
12,No,Unknown,1362.52,Unknown,10,3,Medical,13,2,Female,,1,3,Research Director,3,Married,,28613.0,3,No,12,3.0,1,Full Time,1,,3,3.0,18,1,11,1985,132060.0,Yes
13,Yes,Rarely,2016.55,Unknown,12,3,Unknown,14,2,Female,,3,5,Research Director,3,Married,,42347.5,1,No,12,3.0,4,Full Time,0,,0,3.0,22,15,8,1982,195450.0,No
14,No,Unknown,1973.98,Unknown,14,4,Medical,15,3,Male,,4,5,Research Director,2,Single,15943.72,41453.67,8,No,11,3.0,4,Unknown,0,,3,3.0,24,2,15,1968,,Yes
15,No,Rarely,1861.37,Unknown,2,4,Unknown,16,3,Female,,3,5,Manager,3,Unknown,15034.17,39088.83,0,No,14,3.0,4,Full Time,0,,2,3.0,20,1,12,1983,180410.0,No
16,Yes,Rarely,1985.7,Unknown,2,4,Unknown,17,4,Male,,3,5,Research Director,2,Single,16038.33,41699.67,7,Yes,12,3.0,4,Full Time,0,40.0,2,3.0,31,13,8,1965,192460.0,No
17,No,Rarely,1582.77,Unknown,2,3,Unknown,18,3,Female,,3,4,Manager,1,Unknown,12783.92,33238.2,8,Unknown,23,4.0,1,Unknown,0,28.0,2,3.0,26,15,9,1977,,No
18,No,Unknown,556.26,Unknown,13,5,Life Sciences,19,2,Male,,4,2,Research Scientist,1,Married,4492.84,11681.39,1,Unknown,11,3.0,4,Unknown,0,,2,3.0,16,1,10,1988,,No
19,No,Rarely,1032.49,Unknown,15,3,Life Sciences,20,1,Female,,2,3,Manufacturing Director,3,Unknown,8339.32,21682.23,1,Unknown,13,3.0,4,Unknown,2,18.0,2,3.0,18,14,12,1983,,Yes
20,No,No,1108.92,Research & Development,1,1,Unknown,21,3,Male,,2,3,Healthcare Representative,3,Unknown,8956.67,23287.33,3,Unknown,23,4.0,4,Full Time,1,25.0,3,2.0,23,14,4,1978,107480.0,No
21,No,Unknown,1032.49,Unknown,1,2,Life Sciences,22,1,Female,,3,3,Research Director,4,Single,,21682.23,1,Yes,12,3.0,3,Part Time,0,15.0,1,3.0,15,8,12,1990,100071.84,Yes
22,No,Unknown,1032.49,Unknown,8,3,Unknown,23,3,Female,,3,3,Healthcare Representative,3,Divorced,,21682.23,1,Unknown,13,3.0,2,Unknown,3,17.0,2,3.0,17,12,8,1987,100071.84,Yes
23,No,Unknown,1728.38,Unknown,2,2,Other,24,3,Female,216.0476190476191,3,4,Manager,4,Married,,36296.0,1,Unknown,11,3.0,3,Full Time,1,,3,2.0,26,3,0,1976,167520.0,No
24,No,Rarely,639.79,Unknown,42,2,Life Sciences,25,42,Male,79.97321428571429,3,2,Sales Executive,4,Unknown,5167.5,13435.5,1,Unknown,14,3.0,4,Full Time,1,18.0,1,3.0,18,4,11,1987,62010.0,Yes
25,No,Unknown,1032.49,Unknown,9,3,Life Sciences,26,4,Female,129.06091077207583,2,3,Manufacturing Director,3,Married,,21682.23,1,Yes,20,4.0,2,Part Time,1,17.0,2,3.0,17,5,15,1988,100071.84,No
26,Yes,Unknown,2047.5,Unknown,2,1,Unknown,27,1,Female,,1,5,Manager,4,Married,,42997.5,1,No,15,3.0,4,Full Time,1,33.0,3,3.0,32,6,9,1971,198450.0,Yes
27,No,Unknown,556.26,Unknown,2,4,Life Sciences,28,3,Female,,3,2,Manufacturing Director,2,Single,4492.84,11681.39,9,Yes,11,3.0,4,Unknown,0,18.0,2,3.0,16,5,12,1987,53914.11,No
28,No,Rarely,556.26,Unknown,28,4,Life Sciences,29,2,Male,69.53208262471655,3,2,Laboratory Technician,3,Married,4492.84,11681.39,1,Unknown,12,3.0,2,Part Time,1,15.0,3,3.0,15,5,7,1990,53914.11,Yes
29,No,No,412.8,Sales,10,3,Life Sciences,30,4,Male,,3,2,Sales Executive,3,Unknown,3334.17,8668.83,1,Yes,14,3.0,3,Part Time,1,15.0,3,3.0,15,0,7,1989,40010.0,Yes
30,No,Unknown,1077.87,Sales,37,1,Unknown,31,37,Female,,3,3,Sales Executive,3,Divorced,8705.83,22635.17,0,Unknown,13,3.0,4,Full Time,1,,3,4.0,22,13,5,1982,104470.0,Yes
31,No,Unknown,1032.49,Research & Development,25,3,Medical,32,1,Male,,3,3,Healthcare Representative,3,Unknown,8339.32,21682.23,2,Unknown,23,4.0,2,Unknown,0,25.0,3,3.0,17,12,11,1976,,Yes
32,No,Rarely,1973.98,Unknown,5,3,Unknown,33,3,Female,246.74801587301585,3,5,Manager,3,Unknown,15943.72,41453.67,4,Unknown,11,3.0,4,Full Time,1,26.0,3,2.0,14,4,8,1970,191324.62,Yes
33,No,Unknown,556.26,Unknown,1,4,Marketing,34,3,Male,69.53208262471655,2,2,Sales Executive,1,Single,4492.84,11681.39,0,No,14,3.0,2,Part Time,0,16.0,2,3.0,15,2,8,1988,53914.11,No
